Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-08-25 20:00:00,15.5,93,0.5,86,0.0,L
2000-10-31 04:00:00,15.5,97,0.2,41,0.0,NE
2000-07-17 00:00:00,15.5,93,0.5,35,0.0,NE
2000-07-06 12:00:00,15.5,52,1.6,275,0.0,O
2000-07-09 20:00:00,15.5,93,0.5,42,0.0,NE
2000-07-19 19:00:00,15.5,89,0.5,31,0.0,NE
2000-07-10 10:00:00,15.5,98,1.0,284,0.0,O
2000-11-23 04:00:00,15.5,97,0.2,66,0.0,NE
2000-07-17 01:00:00,15.5,95,0.2,91,0.0,L
2000-05-16 22:00:00,15.5,91,0.4,149,0.0,SE
2000-05-22 04:00:00,15.5,94,0.6,86,0.0,L
2000-07-17 06:00:00,15.5,94,0.6,32,0.1,NE
2000-06-17 06:00:00,15.5,99,0.2,302,0.4,NO
